TimeReceived,SequenceNum,TimeFlowStart,TimeFlowEnd,Bytes,SrcAddr_0,SrcAddr_1,SrcAddr_2,SrcAddr_3,DstAddr_0,DstAddr_1,DstAddr_2,DstAddr_3,Etype_2048,Etype_2054,Proto_1,Proto_0,Proto_6,SrcPort,DstPort,Label
1700742789,717,1700742789,1700742789,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700742937,780,1700742937,1700742937,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700742957,789,1700742957,1700742957,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743004,809,1700743004,1700743004,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743041,824,1700743041,1700743041,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743091,844,1700743091,1700743091,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743092,845,1700743092,1700743092,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743108,851,1700743108,1700743108,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743110,853,1700743110,1700743110,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743139,865,1700743139,1700743139,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743152,871,1700743152,1700743152,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743231,902,1700743231,1700743231,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743231,902,1700743231,1700743231,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743273,920,1700743273,1700743273,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743284,925,1700743284,1700743284,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743284,925,1700743284,1700743284,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743302,933,1700743302,1700743302,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743338,947,1700743338,1700743338,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743341,949,1700743341,1700743341,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743352,954,1700743352,1700743352,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,True,False,False,True,False,0.0,0.0,0
1700743373,963,1700743373,1700743373,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
1700743375,964,1700743375,1700743375,0.21839080459770116,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.41568627450980394,0.7529411764705882,0.6588235294117647,0.00784313725490196,0.4117647058823529,True,False,False,True,False,0.0,0.0,0
